lead_id,created_ts,claimed_ts,sla_window_minutes,claimed_by_rep_id,sla_breached,escalated,escalation_ts
LEAD-0008,2026-08-12T20:25:14Z,2026-08-12T20:45:14Z,15,REP-005,TRUE,TRUE,2026-08-12T20:42:14Z
LEAD-0011,2026-08-13T00:44:14Z,2026-08-13T00:49:14Z,15,REP-010,FALSE,FALSE,
LEAD-0020,2026-08-13T13:55:13Z,2026-08-13T14:06:13Z,15,REP-004,FALSE,FALSE,
LEAD-0015,2026-08-13T21:20:07Z,2026-08-13T21:42:07Z,15,REP-010,TRUE,TRUE,2026-08-13T21:36:07Z
LEAD-0035,2026-08-13T21:45:23Z,2026-08-13T21:48:23Z,15,REP-004,FALSE,FALSE,
LEAD-0019,2026-08-14T01:03:37Z,2026-08-14T01:09:37Z,15,REP-003,FALSE,FALSE,
LEAD-0049,2026-08-14T11:38:28Z,2026-08-14T11:47:28Z,15,REP-003,FALSE,FALSE,
LEAD-0024,2026-08-14T18:05:51Z,2026-08-14T18:20:51Z,15,REP-005,FALSE,FALSE,
LEAD-0002,2026-08-16T19:34:28Z,2026-08-16T19:50:28Z,15,REP-001,TRUE,TRUE,2026-08-16T19:50:28Z
LEAD-0034,2026-08-17T03:09:41Z,2026-08-17T03:16:41Z,15,REP-010,FALSE,FALSE,
LEAD-0044,2026-08-17T10:32:17Z,2026-08-17T11:02:17Z,15,REP-003,TRUE,TRUE,2026-08-17T10:48:17Z
LEAD-0006,2026-08-18T03:21:59Z,2026-08-18T03:26:59Z,15,REP-010,FALSE,FALSE,
LEAD-0031,2026-08-18T14:36:04Z,2026-08-18T14:41:04Z,15,REP-003,FALSE,FALSE,
LEAD-0040,2026-08-19T01:19:03Z,2026-08-19T01:24:03Z,15,REP-009,FALSE,FALSE,
LEAD-0057,2026-08-19T09:44:38Z,2026-08-19T10:05:38Z,15,REP-009,TRUE,TRUE,2026-08-19T10:02:38Z
LEAD-0055,2026-08-19T22:13:11Z,2026-08-19T22:26:11Z,15,REP-002,FALSE,FALSE,
LEAD-0030,2026-08-20T13:38:47Z,2026-08-20T13:53:47Z,15,REP-007,FALSE,FALSE,
LEAD-0048,2026-08-20T23:28:12Z,2026-08-20T23:50:12Z,15,REP-010,TRUE,TRUE,2026-08-20T23:45:12Z
LEAD-0036,2026-08-21T01:38:28Z,2026-08-21T01:40:28Z,15,REP-008,FALSE,FALSE,
LEAD-0058,2026-08-21T22:47:04Z,2026-08-21T22:54:04Z,15,REP-010,FALSE,FALSE,
LEAD-0050,2026-08-22T01:54:24Z,2026-08-22T02:04:24Z,15,REP-001,FALSE,FALSE,
LEAD-0056,2026-08-22T04:38:51Z,2026-08-22T04:41:51Z,15,REP-003,FALSE,FALSE,
LEAD-0042,2026-08-22T09:36:56Z,2026-08-22T09:49:56Z,15,REP-005,FALSE,FALSE,
LEAD-0005,2026-08-22T18:54:10Z,2026-08-22T18:58:10Z,15,REP-007,FALSE,FALSE,
LEAD-0001,2026-08-22T19:23:53Z,2026-08-22T19:33:53Z,15,REP-002,FALSE,FALSE,
LEAD-0014,2026-08-23T03:10:26Z,2026-08-23T03:24:26Z,15,REP-005,FALSE,FALSE,
LEAD-0041,2026-08-23T04:33:17Z,2026-08-23T05:10:17Z,15,REP-001,TRUE,TRUE,2026-08-23T04:49:17Z
LEAD-0025,2026-08-23T08:53:36Z,2026-08-23T09:04:36Z,15,REP-004,FALSE,FALSE,
LEAD-0033,2026-08-23T14:02:28Z,2026-08-23T14:07:28Z,15,REP-009,FALSE,FALSE,
LEAD-0029,2026-08-23T20:48:45Z,2026-08-23T20:52:45Z,15,REP-006,FALSE,FALSE,
LEAD-0054,2026-08-23T21:01:07Z,2026-08-23T21:03:07Z,15,REP-002,FALSE,FALSE,
